Title,Likes,Views,Date_Time,video_link,Description
Dhindora | Official Music Video | BB Ki Vines,View,61M views,2 years ago,https://www.youtube.com/watch?v=l8zlKap1JEo,"Binge watch Dhindora:    • Dhindora  

Subscribe to BB Ki Vines: https://bit.ly/3EGRzSj

Listen to Dhindora’s Album: https://streamlink.to/dhindora

Buy Bancho’s ‘In Youth We Learn’ hoodie: https://youthiapa.com/collections/bb-...

Audio Credits
Music: Sneha Khanwalkar 
Singer: Kailash Kher 
Lyrics: Bhuvan Bam
Recorded at Studio Kailasa
Recorded by Franco Bhalla
Music Production Team: Udayan Dharmadhikari, HHB 
Additional Producers: Tarun Shahani and Vinayak Manohar
Dhols recorded by Dilkhush Thind, Chandigarh 
Backing vocals: UD and HHB
Mixed and Mastered by Shadab Rayeen

Video Credits
Director/Choreographer: Ruel Dausan Varindani
Producer: Rohit Raj
Co-Producer: Arvin Bhandari
Executive Producer: Gaurav Chawla (Storywala Pvt Ltd)
Chief AD & Assistant Choreographer: Rishikesh Nalawade 
Direction/Choreography Team: Akash Tambedkar, Tejas Puthran, Mukesh Gupta
DOP: Jerin Paul
1st AC: Vrushab Sansgiri
2nd AC: Jai Wadkar
Production Designer: Juhi Talmaki (Khidki Darwaja Studios) 
Line Producer: Paritosh Soni / Rajeev Dubey
Production Head: Vivek Johar
Production Controller: Ankita Gupta
Production Assistant: Vikash Kumar
Art Director: Arvind
Makeup Artist: Rajkishore Singh & Team
Hair Stylist Artist: Yogita Sheth & Team
On Set Dresser: Ankita Jadhav
Makeup: Deepak Kharade and Team
Dancers Costume: Khushboo
Dancers Team: Shamshad khan (Wonkru Entertainment Private Limited)
Juniors Team: Rinky Punjabi
Gaffer: Wasim Ansari
Focus Puller: Rajan & Jai Prakash
DIT: Tohid Ali
Camera: RD Equipment
Steady Cam: Sandeep Shetty
Lights: Golden Lights
Generator: Ahmed Gaffar Khan 
Grips: Cine Grips
Table, Tent, Chair: Krishna Equipment (Tej Singh)
Spot: Chandan Kumar (Sonu)  & Team
Catering: Vinod Caterers
Hard Drive: H R  Solutions / Purohit media Solutions 
Editor: Rishikesh Nalawade
DI/Colorist: Rocky Panesar
VFX/GFX: Vinay George/Hasan Ali

Thumbnail & Artwork: TooSid

Team Bhuvan Bam
Stylist: Henna Akhtar
Hair: Hakim Aalim & Team
Character Hair and Prosthetics: Yogita Sheth & Team 
Make Up: Rajkishore Singh
Spotboy: Kiran Chettri
Manager: Rohit Raj

Behind The Scenes (Still & Motion)
Tushar Mahajan
Kishalay Tiwari, Amit Dey & Vaibhav Singh.

Featuring @CarryMinati, @ashishchanchlanivines, @FlyingBeast320, Gayatri Bhardwaj, @TheHarshBeniwal, @MJ5Crew, @beyounick, @triggeredinsaan, @Round2hell, @sejalkumarofficial, @bhaiyajiismile, @TanmayBhatYT and @ZakirKhan.

Special Thanks to Aakanksha Gupta, Prathmesh Chavan, Komal Nair and Nadiya Khan from The Other Circle PR, Rohan Rane and Varun Gupta from Max Marketing, Sandeep, Pranay, Sudeep Lahiri & Gurpreet Bhasin from One Digital Entertainment, Deepak Char, Dhiraj Jorwal, Ankit Madan and team ACV. 

A BB Ki Vines Productions

#DhindoraMusicVideo #Dhindora #BBKiVines"
Dhindora | EP 08: Samay Ka Pahiya | BB Ki Vines | Season Finale,View,36M views,2 years ago,https://www.youtube.com/watch?v=TjyHk-4OHI4,"Acha laga? Rate this episode on IMDb: https://m.imdb.com/title/tt15163028/?...

Bablooji is given some more bad news and is fired from his office but Fate is not done with him just yet.

Bhuvan Bam has donned multiple hats for the making of Dhindora - playing 10 characters, writing the story & dialogues, creating the characters & the universe, working hands on on the edit, background music & all the three songs in the series. Dhindora episode drops every Thursday at 2 PM, only on BB Ki Vines.

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam  

Checkout Bhuvan Bam's original music: https://streamlink.to/dhindora

Buy my merchandise from www.youthiapa.com

#Dhindora #SamayKaPahiya #BBKiVines #BhuvanBam 

A BB Ki Vines Production"
Dhindora | EP 07: Toota Ek Taara | BB Ki Vines,View,39M views,2 years ago,https://www.youtube.com/watch?v=HHQ68FnjAvY,"Acha laga? Rate this episode on IMDb: https://www.imdb.com/title/tt15163022...

The truth shocks the family and all hell breaks loose. Bhuvan delivers a thought-provoking monologue. Babloo and family slowly begin to move on from the tragedy. Bhuvan's unsure of his future with Tara.

Bhuvan Bam has donned multiple hats for the making of Dhindora - playing 10 characters, writing the story & dialogues, creating the characters & the universe, working hands on on the edit, background music & all the three songs in the series. Dhindora episode drops every Thursday at 2 PM, only on BB Ki Vines.

Listen to Saazish ft. Rekha Bhardwaj and Bhuvan Bam: https://streamlink.to/Saazish

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam  

Checkout Bhuvan Bam's original music: https://streamlink.to/dhindora

Buy my merchandise from www.youthiapa.com

#Dhindora #TootaEkTara #BBKiVines #BhuvanBam 

A BB Ki Vines Production"
Dhindora | EP 06: DTYDHTB | BB Ki Vines,View,40M views,2 years ago,https://www.youtube.com/watch?v=A0wcdnzzyIE,"Acha laga? Rate this episode on IMDb: https://m.imdb.com/title/tt15163020/?...



The boys go to confront the true culprit who confesses to his crimes. Everyone is waiting for Babloo at the park but Bhuvan learns something truly unanticipated.

Bhuvan Bam has donned multiple hats for the making of Dhindora - playing 10 characters, writing the story & dialogues, creating the characters & the universe, working hands on on the edit, background music & all the three songs in the series. Dhindora episode drops every Thursday at 2 PM, only on BB Ki Vines.

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam  

Checkout Bhuvan Bam's original music: https://streamlink.to/dhindora

Buy my merchandise from www.youthiapa.com

#Dhindora #DTYDHTB #BBKiVines #BhuvanBam 

A BB Ki Vines Production"
Dhindora | EP 05: Erection In Progress | BB Ki Vines,View,43M views,2 years ago,https://www.youtube.com/watch?v=JalYXTCm-pc,"Acha laga? Rate this episode on IMDb: https://www.imdb.com/title/tt15163018...

We come to know who caused the accident and drama ensues. The local minister promises to build a statue of Babloo ji in the park. Detective Mangloo shares a crucial piece of evidence which could lead to the true perpetrator.

Bhuvan Bam has donned multiple hats for the making of Dhindora - playing 10 characters, writing the story & dialogues, creating the characters & the universe, working hands on on the edit, background music & all the three songs in the series. Dhindora episode drops every Thursday at 2 PM, only on BB Ki Vines.

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam  

Checkout Bhuvan Bam's original music: https://streamlink.to/dhindora
Buy my merchandise from www.youthiapa.com

#Dhindora #ErectionInProgress #BBKiVines #BhuvanBam 

A BB Ki Vines Production"
Dhindora | EP 04: Saste Sherlock | BB Ki Vines,Sign in,45M views,2 years ago,https://www.youtube.com/watch?v=Q9bsSQgBanc,"Acha laga? Rate this episode on IMDb: https://www.imdb.com/title/tt15163014...

Titu Mama manages to solve his problem and be there for the family. Babloo is discharged and is greeted by the neighbours waiting for him at home. Love is in the air for Bhuvan. A new clue leads the friends to a shocking suspect.

Bhuvan Bam has donned multiple hats for the making of Dhindora - playing 10 characters, writing the story & dialogues, creating the characters & the universe, working hands on on the edit, background music & all the three songs in the series. Dhindora episode drops every Thursday at 2 PM, only on BB Ki Vines.

Listen to Papa MKC’s theme: https://streamlink.to/PapaMKCTheme

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam  

Checkout Bhuvan Bam's original music: https://streamlink.to/dhindora

Buy my merchandise from www.youthiapa.com

#Dhindora #SasteSherlock #BBKiVines #BhuvanBam 

A BB Ki Vines Production"
Dhindora | EP 03: Nano Thug Lenge | BB Ki Vines,View,47M views,2 years ago,https://www.youtube.com/watch?v=-7WqO6gi8H0,"Acha laga? Rate this episode on IMDb: https://www.imdb.com/title/tt15163012...

The neighbours visit Babloo to congratulate him for his 'win'. Sameer, Bhuvan and Bancho go to interrogate a possible suspect. It's love at first sight for Bhuvan when he meets Dr. Tara. Janki calls Titu Mama for help paying a hefty hospital bill but, he is in a sticky situation himself.

Bhuvan Bam has donned multiple hats for the making of Dhindora - playing 10 characters, writing the story & dialogues, creating the characters & the universe, working hands on on the edit, background music & all the three songs in the series. Dhindora episode drops every Thursday at 2 PM, only on BB Ki Vines.

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam  

Checkout Bhuvan Bam's original music: https://streamlink.to/dhindora

Buy my merchandise from www.youthiapa.com

#Dhindora #NanoThugLenge #BBKiVines #BhuvanBam 

A BB Ki Vines Production"
Dhindora | EP 02: Baasi Roti | BB Ki Vines,View,52M views,2 years ago,https://www.youtube.com/watch?v=7oKiAPIJ7nU,"Acha laga? Rate this episode on IMDb: https://www.imdb.com/title/tt15163008...

Bablooji has met with a lethal accident and is admitted to a hospital, the rest of family comes to know about the lottery. Will Babloo survive the fatal accident?

Bhuvan Bam has donned multiple hats for the making of Dhindora - playing 10 characters, writing the story & dialogues, creating the characters & the universe, working hands on on the edit, background music & all the three songs in the series. Dhindora episode drops every Thursday at 2 PM, only on BB Ki Vines.

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam  

Checkout Dhindora Album: https://streamlink.to/dhindora

Buy my merchandise from www.youthiapa.com

#Dhindora #BaasiRoti #BBKiVines #BhuvanBam  

A BB Ki Vines Production"
Dhindora | EP 01: Lag Gayi | BB Ki Vines,View,73M views,2 years ago,https://www.youtube.com/watch?v=Y_2y4y0kQig,"Acha laga? Rate this episode on IMDb: https://www.imdb.com/title/tt15163002...

Babloo and his family lead an ordinary life, by a stroke of luck, he wins a lottery right before a major event turns his life upside down.

Bhuvan Bam has donned multiple hats for the making of Dhindora - playing 10 characters, writing the story & dialogues, creating the characters & the universe, working hands on on the edit, background music & all the three songs in the series. Dhindora episode drops every Thursday at 2 PM, only on BB Ki Vines.

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam  

Listen to Dhindora’s music: https://streamlink.to/dhindora

Listen to Bhuvan Bam’s original music: https://bit.ly/3BohxZK

Buy my merchandise from www.youthiapa.com

#Dhindora #LagGayi #BBKiVines #BhuvanBam 

A BB Ki Vines Production"
Dhindora | Official Trailer | BB Ki Vines,View,38M views,2 years ago,https://www.youtube.com/watch?v=IUsiTOUo3HE,"Presenting BB Ki Vines' first ever web series 'Dhindora'. This one of a kind series has comedy, entertainment and drama. 

Bhuvan's life turns upside down after Babloo wins a lottery. Will the jackpot bring happiness or chaos in the lives of BB's family? Join this roller coaster ride where we get to see the problems faced by a middle class household.

Dhindora is coming to you 14th October, only on BB Ki Vines YouTube Channel.

Bhuvan Bam has donned multiple hats that for the making of Dhindora - playing 10 characters, writing the story & dialogues, creating the characters & the universe, working hands on on the edit, background music & all the three songs in the series.

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam  

Checkout Bhuvan Bam Originals: https://streamlink.to/dhindora

Buy my merchandise from www.youthiapa.com

#DhindoraTrailer #bbkivines #bhuvanbam #Dhindora"
Titu Mama Ka Gyaan | Holi Party | BB Ki Vines,Show transcript,39M views,2 years ago,https://www.youtube.com/watch?v=OGMm7g0tdRA,"Holi Special
Bancho is organising a dhamakedar holi party with the gang's help. Will the party be a success?

Mivi Unbox Happiness Sale is LIVE, Get upto 60% OFF NOW: https://mivi.shop/HyiNBE

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK
Buy my merchandise from https://bit.ly/3D3mTdu

Thumbnail by: Grishim Nawani

#HoliParty #bbkivines #bhuvanbam"
BB Ki Vines- | Pitaji Got Talent |,View,28M views,3 years ago,https://www.youtube.com/watch?v=_9sAX5R0qB4,"Babloo is excited to be a part of a Reality TV Show. Will he succeed?

Get Mivi: https://mivi.shop/RC2LFL

Buy BB Ki Vines Official Merchandise here:
https://youthiapa.com/

Facebook►   / ​  
Instagram► bhuvan.bam22
Snapchat► bbkv22
Twitter►  / bhuvan_bam​   and   / bbkv22​  .

This is an all original work of BB Ki Vines.

#PitajiGotTalent​ #BBkiVines​ #BhuvanBam"
BB Ki Vines- | Ask BB- Episode 7 |,View,15M views,3 years ago,https://www.youtube.com/watch?v=qHbKQqJOcrU,"Welcome to the 7th episode of ASK BB where my family answers all your questions!

Upto 70% off at the Mivi Musical days sale. 
Get Roam 2 for just Rs.899 and Collar 2 at Rs.1199
Shop Now: https://mivi.shop/Xl0gHz

Facebook►   / bbkivines  
Instagram► bhuvan.bam22
Snapchat► bbkv22
Twitter►  / bhuvan_bam   and   / bbkv22  .

This is an all original work of BB Ki Vines.
AskBB7 intro by: Mauryan Pentool

#AskBB7 #bhuvanbam #bbkivines"
BB Ki Vines- | Kyun Sameer Kyun? |,Show transcript,42M views,3 years ago,https://www.youtube.com/watch?v=8n49WTTPaM0,"BB, Banchoddas and Titu Mama confront Sameer for stealing Janki's mangalsutra. 
Download Faboom: https://faboom.sng.link/Bmfe7/vjp4/sha9

Buy BB Ki Vines Official Merchandise here:
youthiapa.com

Facebook►   / bbkivines  
Instagram► bhuvan.bam22
Snapchat► bbkv22
Twitter►  / bhuvan_bam   and   / bbkv22  .

This is an all original work of BB Ki Vines.

#KyunSameerKyun #BBkiVines #BhuvanBam"
BB Ki Vines- | ManglooSutra |,Show transcript,34M views,3 years ago,https://www.youtube.com/watch?v=BslKbJkOm98,"Janki’s mangalsutra is missing. Can Detective Mangloo solve the mystery?

The Mivi Discount Season is on. It's raining offers. Get upto 50% off across the site​
​Shop now at: https://mivi.shop/eKv9zb

Facebook►   / bbkivines  
Instagram► bhuvan.bam22
Snapchat► bbkv22
Twitter►  / bhuvan_bam   and   / bbkv22  .

This is an all original work of BB Ki Vines.

#ManglooSutra #BBkiVines #BhuvanBam"
Bandook Ya Lighter? | Latika | BB Ki Vines,View,41M views,3 years ago,https://www.youtube.com/watch?v=xn77xK5WeRI,"Titu Mama brings an unexpected 'guest'...

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK
Buy my merchandise from https://bit.ly/3D3mTdu"
Heer Ranjha - Bhuvan Bam | Official Music Video |,View,22M views,3 years ago,https://www.youtube.com/watch?v=kSFJGEHDCrQ,"Bhuvan Bam releases his 7th Single 'Heer Ranjha'. You often miss your partner, don't you?

You can listen to Heer Ranjha on any streaming platform by just clicking here: https://streamlink.to/HeerRanjha

Written, composed and sung by Bhuvan Bam
Music production: Omkar Tamhan
Additional music production: Shantam Goel
Guitars: Chaitanya Bhaidkar 
Mix and Master by Shadab Rayeen @ New Edge 
Assistant engineer: Abhishek Sortey.
Home mic setup: Joshua Moses

Red bull: Rohit Raj

Produced and Conceptualised by Post Office Studios
Creative Director: Akshat Gupt
Creative Producer: Sakshi Bhasin
Associate Producer: Beulah D'costa
Illustrator: Rahul Jha
Additional frames: Pankaj Gole
Animators: Justin Fernandes, Abhiraj Rane, Vrushank Joshi, Amit Arulkar & Prashant Grover.

Visuals are inspired from illustrations by Dion MBD
Instagram:   / dionmbd  
Website: https://www.dionmbd.com/

PR Team: Aakanksha Gupta, Shweta Singh, Prathmesh Chavan & Mahima Malhotra (Team The Other Circle)

One Digital Entertainment: Kartik Parande, Sandeep, Pranay, Sudeep Lahiri & Gurpreet Bhasin.

A BB Ki Vines Production

Operator Codes - 
Vodafone Subscribers for Caller Tune Direct Dial 53712052976
Idea Subscribers for Dialer Tone Direct Dial 53712052976
BSNL (N & W) Subscribers Direct Dial 567007404050 to set BSNL Tune

This is an all original work of Bhuvan Bam.

#HeerRanjha #BhuvanBam #BBOriginal"
BB Ki Vines- | Sameer Vs Hola - The Ultimate Roast |,View,26M views,3 years ago,https://www.youtube.com/watch?v=NrdZBDh2r9o,"Mr. Hola and Sameer meet again. Things about to get dirty.

Get an Exclusive Launch Discount of 25% on All Arctic Fox Masks.
Use Code SAMEER25 on https://arcticfox.com/collections/mas...
Discount Code Valid for only 3 Days.

Opening and ending sequence shot by: Tushar Mahajan
Additional music: Omkar Tamhan
Redbull: Rohit Raj
Special thanks to Arvin Bhandari

Buy BB Ki Vines Official Merchandise here:
https://youthiapa.com/

Facebook►   / bbkivines  
Instagram► bhuvan.bam22
Snapchat► bbkv22
Twitter►  / bhuvan_bam   and   / bbkv22  .

This is an all original work of BB Ki Vines.

#SameerVsHola #BBKiVines"
